sampleID,subjectID,time
S0_T0,S0,0
S0_T1,S0,2
S0_T2,S0,4
S0_T3,S0,6
S0_T4,S0,8
S0_T5,S0,10
S0_T6,S0,12
S0_T7,S0,13
S0_T8,S0,15
S0_T9,S0,19
S0_T10,S0,25
S0_T11,S0,32
S0_T12,S0,47
S1_T0,S1,0
S1_T1,S1,2
S1_T2,S1,4
S1_T3,S1,6
S1_T4,S1,8
S1_T5,S1,10
S1_T6,S1,12
S1_T7,S1,15
S1_T8,S1,17
S1_T9,S1,22
S1_T10,S1,29
S1_T11,S1,36
S1_T12,S1,43
S2_T0,S2,0
S2_T1,S2,2
S2_T2,S2,4
S2_T3,S2,6
S2_T4,S2,9
S2_T5,S2,11
S2_T6,S2,17
S2_T7,S2,21
S2_T8,S2,27
S2_T9,S2,30
S2_T10,S2,35
S3_T0,S3,0
S3_T1,S3,3
S3_T2,S3,5
S3_T3,S3,7
S3_T4,S3,10
S3_T5,S3,12
S3_T6,S3,13
S3_T7,S3,27
S3_T8,S3,29
S3_T9,S3,36
S4_T0,S4,0
S4_T1,S4,1
S4_T2,S4,3
S4_T3,S4,5
S4_T4,S4,7
S4_T5,S4,8
S4_T6,S4,11
S4_T7,S4,12
S4_T8,S4,13
S5_T0,S5,0
S5_T1,S5,1
S5_T2,S5,8
S5_T3,S5,12
S5_T4,S5,14
S5_T5,S5,18
S5_T6,S5,75
S6_T0,S6,0
S6_T1,S6,2
S6_T2,S6,4
S6_T3,S6,7
S6_T4,S6,8
S6_T5,S6,11
S6_T6,S6,16
S6_T7,S6,18
S6_T8,S6,22
S6_T9,S6,27
S6_T10,S6,34
S7_T0,S7,0
S7_T1,S7,1
S7_T2,S7,3
S7_T3,S7,6
S7_T4,S7,9
S7_T5,S7,11
S7_T6,S7,14
S7_T7,S7,16
S7_T8,S7,18
S7_T9,S7,21
S7_T10,S7,30
S7_T11,S7,38
S7_T12,S7,44
S7_T13,S7,51
S8_T0,S8,0
S8_T1,S8,2
S8_T2,S8,4
S8_T3,S8,6
S8_T4,S8,8
S8_T5,S8,10
S8_T6,S8,12
S8_T7,S8,15
S8_T8,S8,22
S8_T9,S8,24
S8_T10,S8,28
S8_T11,S8,39
S8_T12,S8,41
S8_T13,S8,51
S8_T14,S8,55
S9_T0,S9,0
S9_T1,S9,1
S9_T2,S9,3
S9_T3,S9,4
S9_T4,S9,5
S9_T5,S9,7
S9_T6,S9,10
S9_T7,S9,13
S9_T8,S9,14
S9_T9,S9,15
S10_T0,S10,0
S10_T1,S10,3
S10_T2,S10,4
S10_T3,S10,8
S10_T4,S10,11
S10_T5,S10,14
S10_T6,S10,20
S10_T7,S10,26
S10_T8,S10,41
S10_T9,S10,44
S11_T0,S11,0
S11_T1,S11,1
S11_T2,S11,3
S11_T3,S11,6
S11_T4,S11,8
S11_T5,S11,10
S11_T6,S11,12
S11_T7,S11,14
S11_T8,S11,16
S11_T9,S11,18
S11_T10,S11,20
S11_T11,S11,22
S11_T12,S11,23
S12_T0,S12,0
S12_T1,S12,2
S12_T2,S12,5
S12_T3,S12,7
S12_T4,S12,10
S12_T5,S12,14
S12_T6,S12,19
S12_T7,S12,26
S12_T8,S12,34
S13_T0,S13,0
S13_T1,S13,1
S13_T2,S13,1
S13_T3,S13,2
S13_T4,S13,3
S14_T0,S14,0
S14_T1,S14,2
S14_T2,S14,5
S14_T3,S14,6
S14_T4,S14,7
S14_T5,S14,8
S14_T6,S14,9
S14_T7,S14,10
S14_T8,S14,11
S14_T9,S14,12
S14_T10,S14,13
S14_T11,S14,14
S14_T12,S14,15
S14_T13,S14,17
S14_T14,S14,18
S14_T15,S14,19
S14_T16,S14,21
S14_T17,S14,22
S14_T18,S14,23
S15_T0,S15,0
S15_T1,S15,2
S15_T2,S15,3
S15_T3,S15,4
S15_T4,S15,5
S15_T5,S15,6
S15_T6,S15,7
S15_T7,S15,8
S15_T8,S15,9
S15_T9,S15,10
S15_T10,S15,11
S15_T11,S15,12
S15_T12,S15,13
S15_T13,S15,14
S15_T14,S15,15
S15_T15,S15,16
S16_T0,S16,0
S16_T1,S16,1
S16_T2,S16,2
S16_T3,S16,3
S16_T4,S16,4
S16_T5,S16,5
S16_T6,S16,6
S16_T7,S16,7
S16_T8,S16,8
S16_T9,S16,9
S16_T10,S16,10
S16_T11,S16,11
S16_T12,S16,12
S16_T13,S16,13
S16_T14,S16,14
S16_T15,S16,15
S16_T16,S16,17
S16_T17,S16,19
S16_T18,S16,20
S16_T19,S16,21
S16_T20,S16,22
S17_T0,S17,0
S17_T1,S17,1
S17_T2,S17,2
S17_T3,S17,3
S17_T4,S17,4
S17_T5,S17,5
S17_T6,S17,6
S17_T7,S17,7
S17_T8,S17,8
S17_T9,S17,9
S17_T10,S17,10
S17_T11,S17,11
S17_T12,S17,13
S17_T13,S17,14
S17_T14,S17,15
S17_T15,S17,16
S17_T16,S17,17
S17_T17,S17,18
S17_T18,S17,21
S17_T19,S17,22
S18_T0,S18,0
S18_T1,S18,1
S18_T2,S18,3
S18_T3,S18,4
S18_T4,S18,5
S18_T5,S18,7
S18_T6,S18,8
S18_T7,S18,10
S18_T8,S18,13
S18_T9,S18,14
S18_T10,S18,16
S18_T11,S18,17
S18_T12,S18,19
S18_T13,S18,20
S19_T0,S19,0
S19_T1,S19,3
S19_T2,S19,4
S19_T3,S19,5
S19_T4,S19,6
S19_T5,S19,7
S19_T6,S19,8
S19_T7,S19,9
S19_T8,S19,10
S19_T9,S19,11
S19_T10,S19,12
S19_T11,S19,13
S19_T12,S19,14
S19_T13,S19,15
S19_T14,S19,16
S19_T15,S19,17
S19_T16,S19,18
S19_T17,S19,19
S19_T18,S19,20
S19_T19,S19,21
S19_T20,S19,22
S19_T21,S19,23
S20_T0,S20,0
S20_T1,S20,1
S20_T2,S20,2
S20_T3,S20,3
S20_T4,S20,11
S20_T5,S20,12
S20_T6,S20,13
S20_T7,S20,14
S20_T8,S20,16
S20_T9,S20,17
S20_T10,S20,18
S20_T11,S20,19
S20_T12,S20,21
S20_T13,S20,25
S21_T0,S21,0
S21_T1,S21,1
S21_T2,S21,2
S21_T3,S21,3
S21_T4,S21,4
S21_T5,S21,5
S21_T6,S21,6
S21_T7,S21,7
S21_T8,S21,8
S21_T9,S21,9
S21_T10,S21,10
S21_T11,S21,11
S21_T12,S21,12
S21_T13,S21,13
S21_T14,S21,14
S21_T15,S21,15
S21_T16,S21,16
S21_T17,S21,17
S21_T18,S21,18
S21_T19,S21,19
S21_T20,S21,21
S22_T0,S22,0
S22_T1,S22,2
S22_T2,S22,3
S22_T3,S22,4
S22_T4,S22,5
S22_T5,S22,6
S22_T6,S22,7
S22_T7,S22,8
S22_T8,S22,9
S22_T9,S22,10
S22_T10,S22,11
S22_T11,S22,12
S22_T12,S22,13
S22_T13,S22,14
